,slice1,slice2
ABCC11,True,False
ACTA2,True,False
ACTG2,True,False
ADAM9,True,False
ADGRE5,True,False
ADH1B,True,False
ADIPOQ,True,False
AGR3,True,False
AHSP,True,False
AIF1,True,False
AKR1C1,True,False
AKR1C3,True,False
ALDH1A3,True,False
ANGPT2,True,False
ANKRD28,True,False
ANKRD29,True,False
ANKRD30A,True,False
APOBEC3A,True,False
APOBEC3B,True,False
APOC1,True,False
AQP1,True,False
AQP3,True,False
AR,True,False
AVPR1A,True,False
BACE2,True,False
BANK1,True,False
BASP1,True,False
BTNL9,True,False
C15orf48,True,False
C1QA,True,False
C1QC,True,False
C2orf42,True,False
C5orf46,True,False
C6orf132,True,False
CAV1,True,False
CAVIN2,True,False
CCDC6,True,False
CCDC80,True,False
CCL20,True,False
CCL5,True,False
CCL8,True,False
CCND1,True,False
CCPG1,True,False
CCR7,True,False
CD14,True,False
CD163,True,False
CD19,True,False
CD1C,True,False
CD247,True,False
CD27,True,False
CD274,True,False
CD3D,True,False
CD3E,True,False
CD3G,True,False
CD4,True,False
CD68,True,False
CD69,True,False
CD79A,True,False
CD79B,True,False
CD80,True,False
CD83,True,False
CD86,True,False
CD8A,True,False
CD8B,True,False
CD9,True,False
CD93,True,False
CDC42EP1,True,False
CDH1,True,False
CEACAM6,True,False
CEACAM8,True,False
CENPF,True,False
CLCA2,True,False
CLDN4,True,False
CLDN5,True,False
CLEC14A,True,False
CLEC9A,True,False
CLECL1,True,False
CLIC6,True,False
CPA3,True,False
CRHBP,True,False
CRISPLD2,True,False
CSF3,True,False
CTH,True,False
CTLA4,True,False
CTSG,True,False
CTTN,True,False
CX3CR1,True,False
CXCL12,True,False
CXCL16,True,False
CXCL5,True,False
CXCR4,True,False
CYP1A1,True,False
CYTIP,True,False
DAPK3,True,False
DERL3,True,False
DMKN,True,False
DNAAF1,True,False
DNTTIP1,True,False
DPT,True,False
DSC2,True,False
DSP,True,False
DST,True,False
DUSP2,True,False
DUSP5,True,False
EDN1,True,False
EDNRB,True,False
EGFL7,True,False
EGFR,True,False
EIF4EBP1,True,False
ELF3,True,False
ELF5,True,False
ENAH,True,False
EPCAM,True,False
ERBB2,True,False
ERN1,True,False
ESM1,True,False
ESR1,True,False
FAM107B,True,False
FAM49A,True,False
FASN,True,False
FBLIM1,True,False
FBLN1,True,False
FCER1A,True,False
FCER1G,True,False
FCGR3A,True,False
FGL2,True,False
FLNB,True,False
FOXA1,True,False
FOXC2,True,False
FOXP3,True,False
FSTL3,True,False
GATA3,True,False
GJB2,True,False
GLIPR1,True,False
GNLY,True,False
GPR183,True,False
GZMA,True,False
GZMB,True,False
GZMK,True,False
HAVCR2,True,False
HDC,True,False
HMGA1,True,False
HOOK2,True,False
HOXD8,True,False
HOXD9,True,False
HPX,True,False
IGF1,True,False
IGSF6,True,False
IL2RA,True,False
IL2RG,True,False
IL3RA,False,True
IL7R,False,True
ITGAM,False,True
ITGAX,False,True
ITM2C,False,True
JUP,False,True
KARS,False,True
KDR,False,True
KIT,False,True
KLF5,False,True
KLRB1,False,True
KLRC1,False,True
KLRD1,False,True
KLRF1,False,True
KRT14,False,True
KRT15,False,True
KRT16,False,True
KRT23,False,True
KRT5,False,True
KRT6B,False,True
KRT7,False,True
KRT8,False,True
LAG3,False,True
LARS,False,True
LDHB,False,True
LEP,False,True
LGALSL,False,True
LIF,False,True
LILRA4,False,True
LPL,False,True
LPXN,False,True
LRRC15,False,True
LTB,False,True
LUM,False,True
LY86,False,True
LYPD3,False,True
LYZ,False,True
MAP3K8,False,True
MDM2,False,True
MEDAG,False,True
MKI67,False,True
MLPH,False,True
MMP1,False,True
MMP12,False,True
MMP2,False,True
MMRN2,False,True
MNDA,False,True
MPO,False,True
MRC1,False,True
MS4A1,False,True
MUC6,False,True
MYBPC1,False,True
MYH11,False,True
MYLK,False,True
MYO5B,False,True
MZB1,False,True
NARS,False,True
NCAM1,False,True
NDUFA4L2,False,True
NKG7,False,True
NOSTRIN,False,True
NPM3,False,True
OCIAD2,False,True
OPRPN,False,True
OXTR,False,True
PCLAF,False,True
PCOLCE,False,True
PDCD1,False,True
PDCD1LG2,False,True
PDE4A,False,True
PDGFRA,False,True
PDGFRB,False,True
PDK4,False,True
PECAM1,False,True
PELI1,False,True
PGR,False,True
PIGR,False,True
PIM1,False,True
PLD4,False,True
POLR2J3,False,True
POSTN,False,True
PPARG,False,True
PRDM1,False,True
PRF1,False,True
PTGDS,False,True
PTN,False,True
PTPRC,False,True
PTRHD1,False,True
QARS,False,True
RAB30,False,True
RAMP2,False,True
RAPGEF3,False,True
REXO4,False,True
RHOH,False,True
RORC,False,True
RTKN2,False,True
RUNX1,False,True
S100A14,False,True
S100A4,False,True
S100A8,False,True
SCD,False,True
SCGB2A1,False,True
SDC4,False,True
SEC11C,False,True
SEC24A,False,True
SELL,False,True
SERHL2,False,True
SERPINA3,False,True
SERPINB9,False,True
SFRP1,False,True
SFRP4,False,True
SH3YL1,False,True
SLAMF1,False,True
SLAMF7,False,True
SLC25A37,False,True
SLC4A1,False,True
SLC5A6,False,True
SMAP2,False,True
SMS,False,True
SNAI1,False,True
SOX17,False,True
SOX18,False,True
SPIB,False,True
SQLE,False,True
SRPK1,False,True
SSTR2,False,True
STC1,False,True
SVIL,False,True
TAC1,False,True
TACSTD2,False,True
TCEAL7,False,True
TCF15,False,True
TCF4,False,True
TCF7,False,True
TCIM,False,True
TCL1A,False,True
TENT5C,False,True
TFAP2A,False,True
THAP2,False,True
TIFA,False,True
TIGIT,False,True
TIMP4,False,True
TMEM147,False,True
TNFRSF17,False,True
TOMM7,False,True
TOP2A,False,True
TPD52,False,True
TPSAB1,False,True
TRAC,False,True
TRAF4,False,True
TRAPPC3,False,True
TRIB1,False,True
TUBA4A,False,True
TUBB2B,False,True
TYROBP,False,True
UCP1,False,True
USP53,False,True
VOPP1,False,True
VWF,False,True
WARS,False,True
ZEB1,False,True
ZEB2,False,True
ZNF562,False,True
